school,conference,season,player,avg,gp,ab,r,h,2b,3b,hr,rbi,bb,so,sb,obp,slg
Albright College,MAC Commonwealth,2026,"Fleetwood, Aaron",0.176,9-5,17,2,3,1,0,0,2,1,8,1-1,0.222,0.235
Albright College,MAC Commonwealth,2026,"Gerhart, Connor",0.167,4-1,6,1,1,0,0,0,0,0,1,0-0,0.286,0.167
Albright College,MAC Commonwealth,2026,"Manuel , Jake",0.143,5-1,7,0,1,0,0,0,1,0,3,0-0,0.222,0.143
Albright College,MAC Commonwealth,2026,"Aulisi, Thomas",0.136,17-5,22,2,3,0,0,0,2,3,6,2-2,0.24,0.136
Albright College,MAC Commonwealth,2026,"Hoffman , Sean",0.0,14-1,6,1,0,0,0,0,0,1,1,0-0,0.143,0.0
Albright College,MAC Commonwealth,2026,"Kirby, Aaron",0.0,4-1,5,0,0,0,0,0,0,1,3,0-0,0.167,0.0
Albright College,MAC Commonwealth,2026,"Bartuck, Xander",0.0,3-0,4,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Albright College,MAC Commonwealth,2026,"Burwell, Keyir",0.0,14-0,2,3,0,0,0,0,0,0,2,1-1,0.0,0.0
Albright College,MAC Commonwealth,2026,"Helme, Maddox",0.0,2-0,2,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Albright College,MAC Commonwealth,2026,"Matthews, Jake",0.0,4-0,2,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Albright College,MAC Commonwealth,2026,"Beisler, Benji",0.0,4-0,2,0,0,0,0,0,0,0,0,0-0,0.0,0.0
Albright College,MAC Commonwealth,2026,"Polaski, Kyle",0.0,6-1,1,0,0,0,0,0,0,1,1,0-0,0.5,0.0
Albright College,MAC Commonwealth,2026,"VanBrookhoven , Ian",0.0,2-0,1,0,0,0,0,0,0,0,0,0-0,0.5,0.0
Albright College,MAC Commonwealth,2026,"Azcarate, Danilo",0.0,1-0,1,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Albright College,MAC Commonwealth,2026,"Stockton, Demetri",0.0,2-0,1,1,0,0,0,0,0,0,0,0-0,0.0,0.0
Albright College,MAC Commonwealth,2025,"Barton, Nick",0.386,39-39,140,29,54,8,0,2,28,9,21,5-8,0.439,0.486
Albright College,MAC Commonwealth,2025,"Berretta, Roman",0.371,39-39,140,29,52,11,1,0,23,19,15,7-8,0.442,0.464
Albright College,MAC Commonwealth,2025,"Gilmer, Jack",0.341,39-39,135,34,46,9,1,1,21,20,21,6-7,0.431,0.444
Albright College,MAC Commonwealth,2025,"Avino, Michael",0.329,38-36,140,26,46,7,4,0,25,7,12,8-12,0.373,0.436
Albright College,MAC Commonwealth,2025,"Marks, Deklyn",0.32,32-29,97,16,31,4,0,4,22,9,4,4-5,0.394,0.485
Albright College,MAC Commonwealth,2025,"Eckstein, Christian",0.305,39-39,141,28,43,3,3,0,23,16,19,11-14,0.373,0.369
Albright College,MAC Commonwealth,2025,"Hunter , Plyler",0.272,32-31,103,20,28,8,1,0,15,11,21,5-7,0.35,0.369
Albright College,MAC Commonwealth,2025,"Burwell, Keyir",0.667,5-0,3,3,2,0,0,0,1,0,1,0-0,0.667,0.667
Albright College,MAC Commonwealth,2025,"Helme, Maddox",0.5,3-0,2,0,1,0,0,0,0,1,0,0-0,0.667,0.5
Albright College,MAC Commonwealth,2025,"Specht , Sam",0.5,3-0,2,1,1,0,0,0,0,1,0,0-0,0.667,0.5
Albright College,MAC Commonwealth,2025,"Lewman, Tommy",0.452,11-11,42,16,19,5,2,3,16,3,6,0-0,0.52,0.881
Albright College,MAC Commonwealth,2025,"Kirby, Aaron",0.368,12-5,19,1,7,0,0,0,1,2,5,1-1,0.455,0.368
Albright College,MAC Commonwealth,2025,"Byers, Jonathan",0.357,11-3,14,3,5,0,0,0,3,4,5,0-0,0.526,0.357
Albright College,MAC Commonwealth,2025,"German, Sameer",0.333,5-0,6,2,2,0,0,0,0,0,1,0-0,0.333,0.333
Albright College,MAC Commonwealth,2025,"Miller, Jermane",0.333,3-0,3,1,1,0,0,0,0,0,2,0-0,0.333,0.333
Albright College,MAC Commonwealth,2025,"Sturtevant, Aidan",0.327,20-13,52,7,17,4,0,0,9,4,15,1-1,0.373,0.404
Albright College,MAC Commonwealth,2025,"Gorla, Chris",0.292,28-26,96,19,28,3,0,2,20,9,14,0-0,0.373,0.385
Albright College,MAC Commonwealth,2025,"Golden , Nathan",0.278,15-11,36,8,10,2,2,0,7,7,13,0-0,0.395,0.444
Albright College,MAC Commonwealth,2025,"Boccelli, Tyler",0.25,11-2,12,3,3,1,0,0,0,2,3,0-0,0.357,0.333
Albright College,MAC Commonwealth,2025,"Polaski, Kyle",0.25,4-3,8,1,2,0,0,0,1,1,4,0-0,0.3,0.25
Albright College,MAC Commonwealth,2025,"VanBrookhoven , Ian",0.231,6-3,13,3,3,0,0,0,3,0,3,0-0,0.214,0.231
Albright College,MAC Commonwealth,2025,"Frank , Max",0.2,3-3,10,1,2,1,0,0,3,0,2,1-1,0.273,0.3
Albright College,MAC Commonwealth,2025,"Pecoraro, John",0.2,6-0,5,0,1,0,0,0,2,1,1,0-0,0.286,0.2
Albright College,MAC Commonwealth,2025,"Bamrick, Nick",0.167,5-2,6,0,1,0,0,0,0,0,1,0-0,0.167,0.167
Albright College,MAC Commonwealth,2025,"Morais, Owen",0.136,12-5,22,2,3,1,0,0,3,4,9,0-0,0.269,0.182
Albright College,MAC Commonwealth,2025,"Tesoriere, Zander",0.121,16-11,33,5,4,0,0,0,3,11,9,0-1,0.356,0.121
Albright College,MAC Commonwealth,2025,"Myford, Lucas",0.091,7-1,11,0,1,1,0,0,1,1,2,0-0,0.167,0.182
Albright College,MAC Commonwealth,2025,"Hoffman , Sean",0.0,3-0,2,0,0,0,0,0,1,0,0,0-0,0.0,0.0
Albright College,MAC Commonwealth,2025,"Pannizzo, GianPaolo",0.0,2-0,2,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Albright College,MAC Commonwealth,2025,"Judge , Calvin",0.0,2-0,2,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Albright College,MAC Commonwealth,2025,"Gerardi, Matt",0.0,4-0,2,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Albright College,MAC Commonwealth,2025,"Bell, Quincy",0.0,4-0,1,0,0,0,0,0,0,0,0,0-0,0.0,0.0
Albright College,MAC Commonwealth,2025,"Najda, Brady",0.0,2-0,1,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Albright College,MAC Commonwealth,2025,"Hudson, Wayne",0.0,6-0,1,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Albright College,MAC Commonwealth,2025,"Manuel , Jake",0.0,2-0,1,1,0,0,0,0,0,1,1,0-0,0.5,0.0
Albright College,MAC Commonwealth,2025,"Young, Dalton",0.0,3-0,1,0,0,0,0,0,0,0,0,0-0,0.0,0.0
Albright College,MAC Commonwealth,2025,"Bellopede, Justin",0.0,2-0,0,1,0,0,0,0,0,0,0,0-0,0.0,0.0
Albright College,MAC Commonwealth,2024,"Stuhltrager, Brenden",0.325,33-33,120,19,39,6,2,1,22,15,33,14-14,0.41,0.433
Albright College,MAC Commonwealth,2024,"Berretta, Roman",0.311,36-36,122,21,38,6,0,0,16,13,14,10-12,0.407,0.361
Albright College,MAC Commonwealth,2024,"Gilmer, Jack",0.298,36-36,131,24,39,3,1,0,10,7,10,7-8,0.357,0.336
Albright College,MAC Commonwealth,2024,"Gorla, Chris",0.295,32-31,112,14,33,7,1,4,27,8,24,0-1,0.38,0.482
Albright College,MAC Commonwealth,2024,"Barton, Nick",0.266,36-35,128,19,34,6,2,1,23,8,15,7-9,0.329,0.367
Albright College,MAC Commonwealth,2024,"Tesoriere, Zander",0.24,30-26,96,16,23,2,2,1,9,15,27,6-8,0.354,0.333
Albright College,MAC Commonwealth,2024,"Pierce, Andrew",1.0,10-0,1,0,1,0,0,0,0,0,0,0-0,1.0,1.0
Albright College,MAC Commonwealth,2024,"Bamrick, Nick",1.0,4-0,1,1,1,0,0,0,0,0,0,0-0,1.0,1.0
Albright College,MAC Commonwealth,2024,"Augunas, Zack",0.333,7-0,6,0,2,0,0,0,0,1,1,0-0,0.429,0.333
Albright College,MAC Commonwealth,2024,"Lewman, Tommy",0.321,27-23,84,18,27,3,1,2,13,13,15,1-1,0.408,0.452
Albright College,MAC Commonwealth,2024,"Aulisi, Thomas",0.296,14-7,27,5,8,0,0,0,3,4,8,3-3,0.406,0.296
Albright College,MAC Commonwealth,2024,"Karel, Ethan",0.263,14-5,19,2,5,0,0,0,1,4,5,0-0,0.417,0.263
Albright College,MAC Commonwealth,2024,"Eckstein, Christian",0.262,26-18,65,7,17,1,0,0,5,4,12,9-11,0.31,0.277
Albright College,MAC Commonwealth,2024,"O'Connor, John",0.259,20-14,27,9,7,0,1,0,1,6,12,1-1,0.4,0.333
Albright College,MAC Commonwealth,2024,"Meredith, Eddie",0.245,23-14,49,10,12,0,0,1,6,0,13,5-6,0.26,0.306
Albright College,MAC Commonwealth,2024,"Smith, Trey",0.24,23-8,25,9,6,0,0,0,4,4,8,4-4,0.4,0.24
Albright College,MAC Commonwealth,2024,"Marks, Deklyn",0.232,24-19,69,6,16,1,0,0,6,6,12,1-2,0.308,0.246
Albright College,MAC Commonwealth,2024,"Myford, Lucas",0.22,21-8,41,6,9,0,0,1,5,3,12,0-0,0.289,0.293
Albright College,MAC Commonwealth,2024,"Miller, Jermane",0.2,5-0,5,0,1,0,0,0,0,1,3,0-0,0.333,0.2
Albright College,MAC Commonwealth,2024,"Morais, Owen",0.171,20-14,41,6,7,1,0,0,3,7,15,1-2,0.294,0.195
Albright College,MAC Commonwealth,2024,"Sturtevant, Aidan",0.167,17-10,36,7,6,0,1,2,7,10,11,1-2,0.348,0.389
Albright College,MAC Commonwealth,2024,"Boccelli, Tyler",0.143,11-4,14,2,2,1,0,0,4,1,3,0-0,0.2,0.214
Albright College,MAC Commonwealth,2024,"Borelli, Domenic",0.133,14-4,15,1,2,0,1,0,3,2,7,0-0,0.235,0.267
Albright College,MAC Commonwealth,2024,"Cordora, Carter",0.125,9-4,16,0,2,0,0,0,0,2,6,1-1,0.3,0.125
Albright College,MAC Commonwealth,2024,"Byers, Jonathan",0.0,7-1,10,0,0,0,0,0,0,1,5,0-0,0.091,0.0
Albright College,MAC Commonwealth,2024,"Burwell, Keyir",0.0,8-0,6,0,0,0,0,0,0,1,3,0-0,0.143,0.0
Albright College,MAC Commonwealth,2024,"Kirby, Aaron",0.0,4-0,3,0,0,0,0,0,0,1,1,0-0,0.25,0.0
Albright College,MAC Commonwealth,2024,"Polaski, Kyle",0.0,2-0,1,0,0,0,0,0,0,0,0,0-0,0.0,0.0
Albright College,MAC Commonwealth,2023,"Barton, Nick",0.354,30-28,99,14,35,5,1,1,16,5,15,2-4,0.39,0.455
Albright College,MAC Commonwealth,2023,"Lewman, Tommy",0.345,38-36,119,22,41,8,0,2,26,11,23,3-5,0.401,0.462
Albright College,MAC Commonwealth,2023,"Marks, Deklyn",0.317,37-34,120,25,38,6,0,0,18,10,9,5-5,0.383,0.367
Albright College,MAC Commonwealth,2023,"Berretta, Roman",0.291,38-36,117,25,34,5,3,1,17,22,20,2-5,0.429,0.41
Albright College,MAC Commonwealth,2023,"Tesoriere, Zander",0.269,38-35,130,17,35,5,1,0,13,12,37,7-9,0.358,0.323
Albright College,MAC Commonwealth,2023,"Adam, Reece",0.252,35-35,111,17,28,2,0,0,17,18,18,3-5,0.387,0.27
Albright College,MAC Commonwealth,2023,"Meredith, Eddie",0.245,36-35,110,15,27,4,0,1,19,11,31,3-4,0.317,0.309
Albright College,MAC Commonwealth,2023,"O'Connor, John",0.239,36-34,88,11,21,3,1,0,11,11,21,2-3,0.317,0.295
Albright College,MAC Commonwealth,2023,"Gilmer, Jack",0.203,37-37,118,17,24,5,0,0,12,14,25,2-3,0.299,0.246
Albright College,MAC Commonwealth,2023,"Karel, Ethan",0.178,29-22,73,13,13,2,0,1,7,6,19,1-1,0.259,0.247
Albright College,MAC Commonwealth,2023,"Borelli, Domenic",0.241,19-5,29,5,7,2,0,0,5,5,7,0-0,0.389,0.31
Albright College,MAC Commonwealth,2023,"Healy, Patrick",0.143,14-2,21,3,3,1,0,1,5,5,16,0-0,0.321,0.333
Albright College,MAC Commonwealth,2023,"Byers, Jonathan",0.105,16-4,19,1,2,1,0,0,2,2,11,0-0,0.19,0.158
Albright College,MAC Commonwealth,2023,"Smith, Trey",0.043,22-5,23,2,1,0,0,0,1,3,5,1-1,0.154,0.043
Albright College,MAC Commonwealth,2022,"Sklenarik, Nick",0.281,37-36,121,12,34,4,0,0,14,22,17,5-8,0.417,0.314
Albright College,MAC Commonwealth,2022,"Algard, Will",0.23,33-30,100,9,23,4,0,0,9,13,26,0-1,0.345,0.27
Albright College,MAC Commonwealth,2022,"Thomas, Chris",0.229,33-31,105,11,24,2,0,1,12,10,21,0-2,0.297,0.276
Albright College,MAC Commonwealth,2022,"Berretta, Roman",0.222,28-26,99,15,22,5,2,0,4,8,22,2-3,0.287,0.313
Albright College,MAC Commonwealth,2022,"Harlos, Dylan",0.216,28-27,88,10,19,6,0,4,13,10,35,2-2,0.31,0.42
Albright College,MAC Commonwealth,2022,"Adam, Reece",0.188,28-25,80,7,15,1,0,1,9,9,25,5-5,0.305,0.238
Albright College,MAC Commonwealth,2022,"Gilmer, Jack",0.182,29-26,77,6,14,2,0,0,6,12,28,0-3,0.3,0.208
Albright College,MAC Commonwealth,2022,"Meredith, Eddie",0.172,32-29,99,12,17,5,1,1,10,5,29,3-7,0.25,0.273
Albright College,MAC Commonwealth,2022,"Smith, Trey",0.088,28-26,68,6,6,1,1,0,5,7,22,2-2,0.205,0.132
Albright College,MAC Commonwealth,2022,"Jacavage, Josh",0.333,7-2,6,0,2,0,0,0,0,3,2,0-0,0.556,0.333
Albright College,MAC Commonwealth,2022,"McDonald , Hayden",0.333,12-7,6,2,2,1,0,0,1,2,1,0-0,0.5,0.5
Albright College,MAC Commonwealth,2022,"O'Connor, John",0.286,19-4,14,2,4,0,0,1,4,3,5,0-1,0.412,0.5
Albright College,MAC Commonwealth,2022,"Bean, Billy",0.278,17-17,54,13,15,3,2,3,10,11,22,5-6,0.403,0.574
Albright College,MAC Commonwealth,2022,"Karel, Ethan",0.265,22-20,68,7,18,2,0,0,7,8,23,2-2,0.359,0.294
Albright College,MAC Commonwealth,2022,"Borelli, Domenic",0.222,12-5,18,4,4,1,0,0,1,1,6,0-0,0.333,0.278
Albright College,MAC Commonwealth,2022,"Halye, Josh",0.21,20-17,62,6,13,2,0,0,3,5,16,0-1,0.269,0.242
Albright College,MAC Commonwealth,2022,"Barton, Nick",0.135,15-9,37,4,5,0,0,0,1,1,10,2-2,0.179,0.135
Albright College,MAC Commonwealth,2022,"Byers, Jonathan",0.0,2-1,1,0,0,0,0,0,0,0,0,0-0,0.0,0.0
Alvernia University,MAC Commonwealth,2026,"Hitchcock, Timmy",0.358,40-40,151,37,54,13,2,4,24,21,20,12-13,0.449,0.55
Alvernia University,MAC Commonwealth,2026,"Hansen, Max",0.339,32-30,121,25,41,4,0,0,11,10,11,8-10,0.412,0.372
Alvernia University,MAC Commonwealth,2026,"Hansen, Bobby",0.331,40-40,154,23,51,6,1,3,38,13,15,5-6,0.387,0.442
Alvernia University,MAC Commonwealth,2026,"Nelson, Logan",0.3,35-34,100,20,30,4,0,0,16,23,23,3-6,0.438,0.34
Alvernia University,MAC Commonwealth,2026,"Ivery III, Harold",0.294,40-39,143,24,42,9,0,3,28,13,18,2-3,0.355,0.42
Alvernia University,MAC Commonwealth,2026,"Chapman, Jake",0.237,36-34,114,19,27,3,0,1,19,12,12,5-6,0.326,0.289
Alvernia University,MAC Commonwealth,2026,"Zabarsky, Jack",0.229,37-37,105,28,24,3,0,0,10,25,14,7-10,0.461,0.257
Alvernia University,MAC Commonwealth,2026,"Ladik, Cole",0.5,2-0,2,1,1,1,0,0,2,0,1,0-0,0.5,1.0
Alvernia University,MAC Commonwealth,2026,"McCarron, Collin",0.348,19-3,23,7,8,2,0,0,4,2,5,2-3,0.4,0.435
Alvernia University,MAC Commonwealth,2026,"Glass, Joe",0.323,17-11,31,10,10,2,0,1,10,7,3,2-2,0.45,0.484
Alvernia University,MAC Commonwealth,2026,"Woodring, Will",0.293,26-26,92,13,27,4,0,3,20,7,7,3-4,0.347,0.435
Alvernia University,MAC Commonwealth,2026,"Babkowski, Christopher",0.25,25-18,52,10,13,1,0,1,11,15,12,1-1,0.474,0.327
Alvernia University,MAC Commonwealth,2026,"Schurman, Austin",0.25,11-3,12,2,3,1,0,1,2,2,4,0-0,0.438,0.583
Alvernia University,MAC Commonwealth,2026,"Noll, Nick",0.25,10-1,8,0,2,0,0,0,0,1,0,0-0,0.333,0.25
Alvernia University,MAC Commonwealth,2026,"Pulcini, Mike",0.247,26-25,77,14,19,6,1,0,12,9,16,1-2,0.348,0.351
Alvernia University,MAC Commonwealth,2026,"DeGaetano, Tim",0.24,19-4,25,1,6,0,0,0,2,4,5,1-1,0.345,0.24
Alvernia University,MAC Commonwealth,2026,"Mele, Mike",0.182,10-2,11,0,2,1,0,0,5,2,1,1-1,0.286,0.273
Alvernia University,MAC Commonwealth,2026,"Esannason, Quincy",0.121,9-9,33,3,4,1,0,0,5,4,7,2-4,0.302,0.152
Alvernia University,MAC Commonwealth,2026,"Bartlett Jr., Alex",0.111,13-4,18,4,2,1,0,0,1,5,5,0-1,0.32,0.167
Alvernia University,MAC Commonwealth,2026,"Dorety, Justin",0.0,4-0,4,1,0,0,0,0,1,1,1,0-0,0.167,0.0
Alvernia University,MAC Commonwealth,2026,"Sclama, Joseph",0.0,6-0,3,0,0,0,0,0,0,0,2,0-0,0.0,0.0
Alvernia University,MAC Commonwealth,2026,"Carillo, Christopher",0.0,5-0,3,0,0,0,0,0,0,0,1,0-0,0.25,0.0
Alvernia University,MAC Commonwealth,2026,"Wagner, Luke",0.0,2-0,2,0,0,0,0,0,0,0,2,0-0,0.333,0.0
Alvernia University,MAC Commonwealth,2026,"Klawansky, Michael",0.0,7-3,1,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Alvernia University,MAC Commonwealth,2025,"Zabarsky, Jack",0.368,39-38,117,29,43,9,0,0,24,24,12,7-7,0.513,0.444
Alvernia University,MAC Commonwealth,2025,"Nelson, Logan",0.323,40-38,127,24,41,10,1,1,33,13,14,9-10,0.409,0.441
Alvernia University,MAC Commonwealth,2025,"Thomas, Evan",0.32,42-42,147,25,47,8,0,1,23,10,10,2-3,0.386,0.395
Alvernia University,MAC Commonwealth,2025,"Hitchcock, Timmy",0.316,41-39,133,23,42,10,3,3,24,14,12,3-7,0.396,0.504
Alvernia University,MAC Commonwealth,2025,"Esannason, Quincy",0.315,39-28,89,31,28,4,2,0,13,34,17,10-13,0.534,0.404
Alvernia University,MAC Commonwealth,2025,"Ivery III, Harold",0.291,38-23,86,20,25,10,0,1,18,12,17,2-3,0.39,0.442
Alvernia University,MAC Commonwealth,2025,"Pulcini, Mike",0.273,41-37,99,24,27,2,1,2,15,23,21,7-10,0.433,0.374
Alvernia University,MAC Commonwealth,2025,"Chapman, Jake",0.268,40-32,112,23,30,4,1,0,16,17,22,7-9,0.37,0.321
Alvernia University,MAC Commonwealth,2025,"Casella, Joseph",1.0,1-0,1,0,1,0,0,0,0,0,0,0-0,1.0,1.0
Alvernia University,MAC Commonwealth,2025,"Seidel, Nathan",0.34,21-17,53,13,18,3,1,1,12,6,5,4-6,0.455,0.491
Alvernia University,MAC Commonwealth,2025,"Jones, Luke",0.333,15-0,6,7,2,2,0,0,0,1,3,1-1,0.5,0.667
Alvernia University,MAC Commonwealth,2025,"Babkowski, Christopher",0.293,20-15,41,10,12,4,0,2,11,8,13,1-1,0.431,0.537
Alvernia University,MAC Commonwealth,2025,"Glass, Joe",0.262,31-16,65,11,17,3,1,0,16,8,8,4-7,0.355,0.338
Alvernia University,MAC Commonwealth,2025,"Buckley, Ryan",0.261,16-5,23,3,6,3,0,0,5,3,8,1-1,0.346,0.391
Alvernia University,MAC Commonwealth,2025,"Emrich, RJ",0.254,25-18,63,11,16,1,0,1,12,10,7,0-1,0.365,0.317
Alvernia University,MAC Commonwealth,2025,"Piermarini, Nicolas",0.25,20-4,28,2,7,1,1,0,8,4,5,1-1,0.343,0.357
Alvernia University,MAC Commonwealth,2025,"DeBalko, Gerald",0.237,25-8,38,8,9,1,0,0,4,4,9,1-2,0.341,0.263
Alvernia University,MAC Commonwealth,2025,"Dorety, Justin",0.222,5-1,9,0,2,1,0,0,1,0,1,1-1,0.222,0.333
Alvernia University,MAC Commonwealth,2025,"Kopf, Ryan",0.179,14-10,28,4,5,1,0,0,2,2,8,0-0,0.258,0.214
Alvernia University,MAC Commonwealth,2025,"Waldron, Noah",0.167,13-3,12,2,2,0,0,0,3,0,6,3-4,0.267,0.167
Alvernia University,MAC Commonwealth,2025,"Mele, Mike",0.0,11-4,12,1,0,0,0,0,1,3,4,0-0,0.25,0.0
Alvernia University,MAC Commonwealth,2025,"Ladik, Cole",0.0,3-0,3,1,0,0,0,0,0,1,1,0-0,0.25,0.0
Alvernia University,MAC Commonwealth,2025,"Serpiello, Samuel",0.0,4-0,2,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Alvernia University,MAC Commonwealth,2025,"Peterson, Isaac",0.0,4-0,2,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Alvernia University,MAC Commonwealth,2025,"Casantini, Dante",0.0,5-0,2,0,0,0,0,0,0,1,1,0-0,0.333,0.0
Alvernia University,MAC Commonwealth,2025,"Harris, Trevor",0.0,2-0,1,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Alvernia University,MAC Commonwealth,2025,"Carillo, Christopher",0.0,1-0,1,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Alvernia University,MAC Commonwealth,2024,"Ramundo, Mike",0.447,47-47,179,53,80,22,6,1,38,14,17,4-5,0.505,0.654
Alvernia University,MAC Commonwealth,2024,"Kelly, Jason",0.371,47-46,151,34,56,11,0,2,46,25,30,7-11,0.472,0.483
Alvernia University,MAC Commonwealth,2024,"Hunter, Garrett",0.349,38-31,86,15,30,4,0,0,25,10,15,2-3,0.45,0.395
Alvernia University,MAC Commonwealth,2024,"Nelson, Logan",0.328,44-43,137,38,45,11,2,4,28,17,29,11-13,0.425,0.526
Alvernia University,MAC Commonwealth,2024,"Edwards , Matt",0.304,45-42,138,34,42,9,0,7,44,22,32,5-7,0.418,0.522
Alvernia University,MAC Commonwealth,2024,"Houghton, Ben",0.289,42-38,128,24,37,3,2,5,28,11,32,2-2,0.349,0.461
Alvernia University,MAC Commonwealth,2024,"Hansen, Bobby",0.28,37-31,107,24,30,11,1,1,22,16,17,3-4,0.371,0.43
Alvernia University,MAC Commonwealth,2024,"Chapman, Jake",0.229,38-34,118,29,27,1,1,0,13,18,32,2-4,0.372,0.254
Alvernia University,MAC Commonwealth,2024,"Lind, Jason",0.4,21-13,40,5,16,1,0,1,11,1,7,0-0,0.429,0.5
Alvernia University,MAC Commonwealth,2024,"Harris, Trevor",0.333,1-0,3,1,1,0,0,0,1,0,1,0-0,0.333,0.333
Alvernia University,MAC Commonwealth,2024,"Anderson, Scott",0.3,9-2,10,4,3,0,0,0,3,4,5,1-1,0.533,0.3
Alvernia University,MAC Commonwealth,2024,"Thomas, Evan",0.299,31-14,67,8,20,2,1,0,8,5,10,0-0,0.382,0.358
Alvernia University,MAC Commonwealth,2024,"Hitchcock, Timmy",0.278,33-22,72,20,20,6,1,1,10,13,16,6-8,0.395,0.431
Alvernia University,MAC Commonwealth,2024,"Kopf, Ryan",0.25,10-2,12,1,3,2,0,0,6,2,6,0-0,0.357,0.417
Alvernia University,MAC Commonwealth,2024,"Esannason, Quincy",0.233,35-26,73,25,17,2,0,0,4,28,17,6-7,0.472,0.26
Alvernia University,MAC Commonwealth,2024,"Jones, Luke",0.217,28-15,60,12,13,2,2,0,5,6,22,4-8,0.309,0.317
Alvernia University,MAC Commonwealth,2024,"Abele, Cameron",0.2,10-2,5,2,1,1,0,0,2,2,3,0-0,0.429,0.4
Alvernia University,MAC Commonwealth,2024,"Byard, Ryan",0.167,8-2,12,2,2,1,1,0,4,2,8,1-1,0.286,0.417
Alvernia University,MAC Commonwealth,2024,"Waldron, Noah",0.143,27-6,28,9,4,0,1,1,6,7,16,4-7,0.368,0.321
Alvernia University,MAC Commonwealth,2024,"Kopcho, Ronald",0.143,22-0,7,0,1,0,0,0,1,0,3,0-0,0.143,0.143
Alvernia University,MAC Commonwealth,2024,"Pulcini, Mike",0.125,24-0,16,3,2,2,0,0,3,3,4,0-0,0.263,0.25
Alvernia University,MAC Commonwealth,2024,"DeForge, Alex",0.125,11-0,8,2,1,1,0,0,2,1,2,0-0,0.222,0.25
Alvernia University,MAC Commonwealth,2024,"Lombardo, Michael",0.125,8-2,8,3,1,0,0,0,0,3,2,0-0,0.417,0.125
Alvernia University,MAC Commonwealth,2024,"Emrich, RJ",0.1,7-1,10,0,1,0,0,0,1,0,5,0-0,0.1,0.1
Alvernia University,MAC Commonwealth,2024,"Zabarsky, Jack",0.0,8-4,16,4,0,0,0,0,0,3,4,1-1,0.2,0.0
Alvernia University,MAC Commonwealth,2024,"DeBalko, Gerald",0.0,9-1,7,1,0,0,0,0,0,1,2,0-0,0.125,0.0
Alvernia University,MAC Commonwealth,2024,"Smith, Michael",0.0,2-0,2,0,0,0,0,0,0,1,1,0-0,0.333,0.0
Alvernia University,MAC Commonwealth,2024,"Asplund, Cole",0.0,1-0,1,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Alvernia University,MAC Commonwealth,2023,"Rogacki, Zach",0.395,48-48,177,46,70,9,4,8,44,25,8,8-10,0.471,0.627
Alvernia University,MAC Commonwealth,2023,"Smith, Brandon",0.376,46-44,141,26,53,4,1,2,24,8,12,0-0,0.421,0.461
Alvernia University,MAC Commonwealth,2023,"Faggioni, Thomas",0.356,45-45,180,47,64,17,4,4,33,18,25,7-7,0.429,0.561
Alvernia University,MAC Commonwealth,2023,"Ramundo, Mike",0.329,48-48,161,29,53,6,3,0,35,15,23,1-2,0.413,0.404
Alvernia University,MAC Commonwealth,2023,"Dougar, Billy",0.283,43-36,120,28,34,6,2,1,22,15,27,9-9,0.367,0.392
Alvernia University,MAC Commonwealth,2023,"Kelly, Jason",0.258,46-46,163,28,42,5,2,2,29,16,26,1-3,0.333,0.35
Alvernia University,MAC Commonwealth,2023,"Byard, Ryan",0.429,7-1,7,1,3,2,0,0,5,2,3,0-0,0.556,0.714
Alvernia University,MAC Commonwealth,2023,"Lind, Jason",0.371,22-17,62,11,23,3,0,2,20,6,5,1-1,0.414,0.516
Alvernia University,MAC Commonwealth,2023,"Friedel, Connor",0.36,31-27,86,15,31,3,0,2,17,6,11,0-2,0.451,0.465
Alvernia University,MAC Commonwealth,2023,"Fitzgerald, Grant",0.325,20-10,40,8,13,0,0,0,12,7,3,0-1,0.426,0.325
Alvernia University,MAC Commonwealth,2023,"Glass, Joe",0.319,32-18,69,19,22,4,1,0,12,10,13,4-6,0.44,0.406
Alvernia University,MAC Commonwealth,2023,"Thomas, Evan",0.318,23-8,44,13,14,4,0,0,7,8,10,1-1,0.466,0.409
Alvernia University,MAC Commonwealth,2023,"Emrich, RJ",0.296,21-3,27,3,8,1,0,1,6,6,5,0-1,0.412,0.444
Alvernia University,MAC Commonwealth,2023,"Mele, Mike",0.286,12-2,14,3,4,0,0,0,0,3,2,0-0,0.412,0.286
Alvernia University,MAC Commonwealth,2023,"Abele, Cameron",0.275,33-20,80,13,22,4,2,0,11,7,12,1-3,0.333,0.375
